"FIPS","MetricYear","Prsns_25plus","Prsns_less_HS","Prsns_HS_or_More","Prsns_4plus_Yrs_Clg","HH_INC_Under_10K","HH_INC__10K_to_14999","HH_INC__15K_to_24999","HH_INC__25K_to_49999","HH_INC__50K_to_99999","HH_INC__100000_Plus","Hhld_SSI","Tot_Civ_Lbr","Emplyd_Civ_Lbr","Unemplyd_Civ_Lbr","N_AgrFrstFishHuntMine_Wkrs","N_Construction_Wrkrs","N_EducHlthCreSocAsst_Wrkrs","N_Manufacturing_Wrkrs","N_Othr_Ind","P_AgrFrstFishHuntMine_Wkrs","P_Construction_Wrkrs","P_EducHlthCreSocAsst_Wrkrs","P_Manufacturing_Wrkrs","P_Othr_Ind","Num_Wrkrs_Priv","Num_Wrkrs_Govt","Num_Wrkrs_Fed","Num_Wrkrs_State","Num_Wrkrs_Local","Num_Wrkrs_Selfemplyd","Num_Wrks_16_Plus","Num_Unpaid_Fam_Wrkrs","Tot_Civ_Lbr (#1)","Emplyd_Civ_Lbr (#1)","Unemplyd_Civ_Lbr (#1)","FEM_Civ_Lbr","Emplyd_FEM_Civ_Lbr","Unemplyd_FEM_Civ_Lbr","P_Prsns_Below_Pov","N_Prsns_Below_Pov","Hhld_PUB_Asst","Prsns_25plus (#1)","Prns_INC_POV_Less_50P","Prns_INC_POV_50P_to_99P","Prns_INC_POV_100P_to_124P","Prns_INC_POV_125P_to_149P","Prns_INC_POV_150P_to_184P","Prns_INC_POV_185P_to_199P","Prns_INC_POV_200P_Plus"
21085,2015,17689,3462,14227,1745,1025,655,1687,2662,2492,1073,807,11212,10491,721,396,1136,2062,2409,4488,3.8,10.8,19.7,23,42.8,8200,1410,162,584,664,857,10491,24,11212,10491,721,5084,4670,414,25.7,6625,318,,1884,4741,1709,1399,2329,806,12899
21085,2016,17763.5,3181.5,14582,1818,1003,585.5,1710,2527.5,2549.5,1095.5,754,11119,10565.5,553.5,424,1053,2062,2461.5,4573.5,4.05,9.900000000000002,19.5,23.35,43.349999999999994,8396.5,1255.5,106,525,624.5,893.5,10565.5,20,11119,10565.5,553.5,5012.5,4655,357.5,26.549999999999997,6878,342.5,,1630,5248,1790.5,1461,2373,737.5,12655.5
21085,2017,17838,2901,14937,1891,981,516,1733,2393,2607,1118,701,11026,10640,386,452,970,2062,2514,4659,4.3,9.000000000000002,19.299999999999997,23.7,43.89999999999999,8593,1101,50,466,585,930,10640,16,11026,10640,386,4941,4640,301,27.4,7131,367,,1376,5755,1872,1523,2417,669,12412
21085,2018,17912.5,2620.5,15292,1964,959,446.5,1756,2258.5,2664.5,1140.5,648,10933,10714.5,218.5,480,887,2062,2566.5,4744.5,4.55,8.100000000000001,19.099999999999994,24.049999999999997,44.44999999999999,8789.5,946.5,-6,407,545.5,966.5,10714.5,12,10933,10714.5,218.5,4869.5,4625,244.5,28.25,7384,391.5,,1122,6262,1953.5,1585,2461,600.5,12168.5
21087,2010,7891,1382,6509,718.5,657.5,438,797,1229,1162.5,208,419,4942.5,4208.5,734,112,267,1000,1066,1683.5,2.6500000000000004,6.45,25.35,25.1,40.6,3014.5,652,161.5,256.5,234,518,4208.5,24,4942.5,4208.5,734,2273,1988,285,21.750000000000004,2438,182,,981.5,1456.5,676.5,830,1298,516,5382
21087,2011,7899,1491,6408,749,628,428,789,1209,1179,254,430,4929,4292,637,112,262,1000,1062,1792,2.6,6.2,24.6,24.6,42.1,3120,663,144,266,253,489,4292,20,4929,4292,637,2291,2039,252,21.200000000000003,2364,168,,909,1455,655,798,1222,497,5557
21087,2012,7907,1600,6307,779.5,598.5,418,781,1189,1195.5,300,441,4915.5,4375.5,540,112,257,1000,1058,1900.5,2.55,5.95,23.85,24.1,43.6,3225.5,674,126.5,275.5,272,460,4375.5,16,4915.5,4375.5,540,2309,2090,219,20.650000000000002,2290,154,,836.5,1453.5,633.5,766,1146,478,5732
21087,2013,7915,1709,6206,810,569,408,773,1169,1212,346,452,4902,4459,443,112,252,1000,1054,2009,2.5,5.7,23.1,23.6,45.1,3331,685,109,285,291,431,4459,12,4902,4459,443,2327,2141,186,20.1,2216,140,,764,1452,612,734,1070,459,5907
21087,2014,7923,1818,6105,840.5,539.5,398,765,1149,1228.5,392,463,4888.5,4542.5,346,112,247,1000,1050,2117.5,2.45,5.45,22.35,23.1,46.6,3436.5,696,91.5,294.5,310,402,4542.5,8,4888.5,4542.5,346,2345,2192,153,19.55,2142,126,,691.5,1450.5,590.5,702,994,440,6082
21087,2015,7931,1927,6004,871,510,388,757,1129,1245,438,474,4875,4626,249,112,242,1000,1046,2226,2.4,5.2,21.6,22.6,48.1,3542,707,74,304,329,373,4626,4,4875,4626,249,2363,2243,120,19,2068,112,,619,1449,569,670,918,421,6257
